epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,5400.51,0.7465,0.42031,0.90578,0.8193,0.8222,0.8284,0.63086,0.77122,0.76265,0.92066,4.9504e-05,4.9504e-05,4.9504e-05
42,5529.39,0.73599,0.41034,0.90082,0.8313,0.82202,0.83141,0.63216,0.77312,0.74649,0.92193,4.47916e-05,4.47916e-05,4.47916e-05
43,5656.28,0.72967,0.40075,0.90002,0.89073,0.77384,0.82268,0.62606,0.76441,0.75574,0.91432,4.00792e-05,4.00792e-05,4.00792e-05
44,5784.47,0.7195,0.39637,0.89142,0.86139,0.78137,0.82117,0.62896,0.76615,0.74152,0.91685,3.53668e-05,3.53668e-05,3.53668e-05
45,5912.93,0.71169,0.39046,0.89291,0.82583,0.82174,0.82871,0.63704,0.76484,0.73708,0.91753,3.06544e-05,3.06544e-05,3.06544e-05
46,6042.08,0.70834,0.38255,0.8898,0.80145,0.82546,0.83136,0.63401,0.76582,0.74169,0.91609,2.5942e-05,2.5942e-05,2.5942e-05
47,6170.66,0.70648,0.38153,0.88912,0.89464,0.77098,0.83179,0.64109,0.76217,0.73461,0.91433,2.12296e-05,2.12296e-05,2.12296e-05
48,6299.27,0.69775,0.37059,0.88658,0.90402,0.76413,0.83227,0.63872,0.76343,0.73226,0.91666,1.65172e-05,1.65172e-05,1.65172e-05
49,6427.52,0.69783,0.36929,0.88981,0.8341,0.78935,0.83137,0.64076,0.76246,0.7239,0.91642,1.18048e-05,1.18048e-05,1.18048e-05
50,6555.8,0.68997,0.36742,0.88851,0.87662,0.77755,0.82998,0.63826,0.76211,0.72777,0.91584,7.0924e-06,7.0924e-06,7.0924e-06
